paperId,title,year,venue,citationCount,abstract,source,pre_score,filter_note
447db49ee978be0827e2d873a4a5bbed53f873c3,Impact of Collective Behaviors of Autonomous Vehicles on Urban Traffic Dynamics: A Multi-Agent Reinforcement Learning Approach,2025,arXiv.org,6,"This study examines the potential impact of reinforcement learning (RL)-enabled autonomous vehicles (AV) on urban traffic flow in a mixed traffic environment. We focus on a simplified day-to-day route choice problem in a multi-agent setting. We consider a city network where human drivers travel through their chosen routes to reach their destinations in minimum travel time. Then, we convert one-third of the population into AVs, which are RL agents employing Deep Q-learning algorithm. We define a ",transport_journals,3,keep
a20270cb59e86664e404b3c97f19efb3e006b796,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,2025,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",0,"Large-scale urban events with high population density often lead to severe traffic congestion around the event venue, disrupting normal traffic flow and reducing commuter efficiency. This study proposes a reinforcement learning (RL)-based traffic management framework to dynamically optimize vehicle routing in such high-density scenarios. By leveraging a predefined shortest path as a baseline, the system intelligently reroutes origin-destination (OD) vehicles to mitigate congestion near the event",transport_journals,3,border
7b86c7dd80886e15c178686ca77b14899d64fefa,Data-Aware Path Planning for Autonomous Vehicles Using Reinforcement Learning,2025,Applied Sciences,1,"This paper addresses the challenge of optimizing path planning for autonomous vehicles in urban environments by considering both traffic and bandwidth variability on the road. Traditional path planning methods are inadequate for the needs of interconnected vehicles that require significant real-time data transfer. We propose a reinforcement learning approach for path planning, formulated to use road traffic conditions and bandwidth availability. This approach optimizes routes by minimizing trave",transport_journals,3,keep
b2c08ebb1b3dbd87db23a7b8a6004827c390a921,Real-Time Traffic Optimization: A Graph-Based Reinforcement Learning Framework,2025,International Congress on Information and Communication Technology,0,"Modern transportation systems must include dynamic traffic management, and sophisticated algorithms like Hypergraph Neural Networks (HGNNs) and Multi-Agent Reinforcement Learning (MARL) are essential for maximizing traffic flow and minimizing congestion. Multiple agents, including traffic lights, vehicles, and sensors, collaborate to optimize traffic conditions throughout a network in MARL, an extension of Reinforcement Learning. To dynamically adjust to real-time circumstances, such as road clo",transport_journals,3,border
a8108832d01dff84979de64a268134e967b6a49a,Optimizing Autonomous Vehicle Navigation Through Reinforcement Learning in Dynamic Urban Environments,2025,World Electric Vehicle Journal,0,"Autonomous vehicle (AV) navigation in dynamic urban environments faces challenges such as unpredictable traffic conditions, varying road user behaviors, and complex road networks. This study proposes a novel reinforcement learning-based framework that enhances AV decision making through spatial-temporal context awareness. The framework integrates Proximal Policy Optimization (PPO) and Graph Neural Networks (GNNs) to effectively model urban features like intersections, traffic density, and pedest",transport_journals,3,border
dfebde1977cc7862d4b68c1e1a30c0f71e169b98,FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation,2025,Italian National Conference on Sensors,20,"The increasing volume of traffic has led to severe challenges, including traffic congestion, heightened energy consumption, increased air pollution, and prolonged travel times. Addressing these issues requires innovative approaches for optimizing road network utilization. While Deep Reinforcement Learning (DRL)-based methods have shown remarkable effectiveness in dynamic scenarios like traffic management, their primary focus has been on single-agent setups, limiting their applicability to real-w",transport_journals,3,keep
d43beec8c7ce886b5e63f70b2f145912a1b2f252,Sustainable EV routing using spectral clustering and fuzzy reinforcement learning with energy constrained A* under mobility index and waiting constraints,2025,Scientific Reports,0,"This research presents a comprehensive electric vehicle (EV) routing framework designed to address the complex interplay of real-world constraints in EV navigation. The proposed system integrates spectral clustering, fuzzy reinforcement learning, and enhanced pathfinding algorithms to compute optimal routes while considering battery limitations, traffic dynamics, terrain elevation, and charging station delays. Unlike conventional multi-objective EV routing solutions, which typically optimize met",transport_journals,3,border
ee08524caae2fe6c7ea15aef10366f4d85cb8f9e,Deep Reinforcement Learning of Simulated Students Multimodal Mobility Behavior: Application to the City of Toulouse,2025,ACM Symposium on Applied Computing,1,"This study presents a Deep Reinforcement Learning (DRL) approach to address the multimodal mobility behavior of daily commuters, focusing specifically on students' home-university multimodal trips. The proposed mesoscopic model addresses key limitations of recent macro and microscopic models by balancing individual mobility preferences with significant group-level student factors. At its core, the model employs a Proximal Policy Optimization (PPO)-based agent that learns to match student navigat",transport_journals,3,border
4d3580b9294aa64e60de0edc2d53c9db69c3860f,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,2024,"2024 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics",1,"Crime risks in urban environments vary over time and space, making it challenging to find a safe and efficient route. Previous solutions to this problem were too simplistic and static, relying on exhaustive searches that were not practical. In this paper, we present a new approach using deep reinforcement learning for dynamic risk-aware path planning. Our method evaluates crime risks and distances to suggest optimal routes that adapt to changing conditions. We have designed a reward system that ",transport_journals,3,keep
65c0dbf044f9eab5f4396235b6112da1e5a624b1,Dynamic stochastic electric vehicle routing with safe reinforcement learning,2022,Transportation Research Part E: Logistics and Transportation Review,146,"Dynamic routing of electric commercial vehicles can be a challenging problem since besides the uncertainty of energy consumption there are also random customer requests. This paper introduces the Dynamic Stochastic Electric Vehicle Routing Problem (DS-EVRP). A Safe Reinforcement Learning method is proposed for solving the problem. The objective is to minimize expected energy consumption in a safe way, which means also minimizing the risk of battery depletion while en route by planning charging w",transport_journals,3,border
